                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                  1.065,                0.48106,                 1.0863,                 0.9857,                0.98976,                0.99336,                 0.7523,                0.98428,                0.33762,                 1.0719,              0.0098244,              0.0098244,              0.0098244
                     97,                 1.0635,                0.48356,                 1.0875,                0.98547,                0.98965,                0.99333,                0.75246,                0.98442,                0.33731,                 1.0719,              0.0098225,              0.0098225,              0.0098225
                     98,                 1.0654,                0.48374,                 1.0849,                0.98525,                0.98997,                0.99331,                 0.7525,                0.98417,                0.33743,                 1.0723,              0.0098207,              0.0098207,              0.0098207
                     99,                 1.0678,                0.48492,                 1.0863,                0.98506,                0.99018,                0.99334,                0.75249,                0.98428,                0.33756,                 1.0724,              0.0098188,              0.0098188,              0.0098188
                    100,                 1.0562,                 0.4816,                   1.08,                0.98511,                0.99035,                0.99337,                0.75258,                0.98442,                0.33705,                 1.0723,              0.0098169,              0.0098169,              0.0098169
                    101,                 1.0614,                0.47891,                 1.0842,                0.98515,                0.99008,                0.99338,                 0.7526,                0.98429,                 0.3369,                 1.0724,              0.0098151,              0.0098151,              0.0098151
                    102,                 1.0592,                 0.4792,                 1.0771,                 0.9847,                0.98995,                0.99339,                0.75266,                0.98424,                0.33659,                 1.0726,              0.0098132,              0.0098132,              0.0098132
                    103,                 1.0597,                0.48134,                 1.0788,                0.98461,                0.99005,                 0.9934,                0.75308,                0.98403,                0.33684,                 1.0724,              0.0098113,              0.0098113,              0.0098113
                    104,                 1.0641,                0.48174,                 1.0859,                0.98462,                0.99006,                 0.9934,                0.75292,                0.98397,                 0.3372,                 1.0726,              0.0098095,              0.0098095,              0.0098095
                    105,                 1.0561,                0.47599,                 1.0808,                0.98523,                0.98982,                0.99342,                0.75249,                0.98393,                0.33725,                 1.0729,              0.0098076,              0.0098076,              0.0098076
                    106,                 1.0592,                0.47825,                 1.0751,                0.98499,                0.98973,                 0.9934,                0.75265,                0.98406,                0.33683,                 1.0725,              0.0098057,              0.0098057,              0.0098057
                    107,                 1.0597,                0.48009,                 1.0784,                0.98473,                0.98963,                0.99343,                0.75237,                 0.9841,                0.33671,                 1.0724,              0.0098039,              0.0098039,              0.0098039
                    108,                 1.0632,                0.47967,                 1.0809,                0.98491,                0.99017,                0.99338,                0.75235,                0.98435,                0.33645,                 1.0723,               0.009802,               0.009802,               0.009802
                    109,                 1.0595,                0.48247,                 1.0817,                0.98503,                0.99028,                0.99337,                0.75225,                0.98438,                0.33611,                 1.0719,              0.0098001,              0.0098001,              0.0098001
                    110,                 1.0589,                0.47854,                 1.0786,                0.98485,                0.99002,                0.99335,                0.75244,                0.98421,                0.33589,                 1.0712,              0.0097983,              0.0097983,              0.0097983
                    111,                 1.0605,                0.47762,                 1.0784,                0.98555,                 0.9902,                0.99344,                0.75247,                 0.9841,                0.33556,                 1.0706,              0.0097964,              0.0097964,              0.0097964
                    112,                 1.0606,                0.47865,                 1.0795,                0.98526,                0.99035,                0.99342,                0.75263,                0.98403,                0.33573,                 1.0705,              0.0097945,              0.0097945,              0.0097945
                    113,                 1.0613,                0.47884,                 1.0761,                0.98478,                0.99035,                0.99342,                0.75227,                0.98439,                0.33552,                 1.0703,              0.0097927,              0.0097927,              0.0097927
                    114,                 1.0571,                0.47752,                 1.0789,                0.98403,                0.99035,                0.99339,                0.75231,                0.98423,                0.33521,                   1.07,              0.0097908,              0.0097908,              0.0097908
                    115,                 1.0354,                0.45972,                 1.0682,                0.98387,                0.99056,                0.99337,                0.75305,                0.98396,                0.33486,                 1.0696,              0.0097889,              0.0097889,              0.0097889
                    116,                  1.053,                0.47435,                 1.0747,                0.98421,                0.99056,                0.99337,                0.75285,                0.98369,                0.33419,                 1.0692,              0.0097871,              0.0097871,              0.0097871
                    117,                 1.0547,                0.47964,                 1.0801,                 0.9843,                0.99058,                0.99337,                  0.753,                0.98356,                0.33449,                 1.0693,              0.0097852,              0.0097852,              0.0097852
                    118,                 1.0614,                0.48093,                 1.0822,                0.98457,                0.98985,                 0.9933,                0.75312,                0.98339,                0.33406,                 1.0693,              0.0097833,              0.0097833,              0.0097833
                    119,                 1.0601,                0.47725,                 1.0822,                0.98475,                0.98997,                0.99332,                0.75321,                0.98347,                0.33402,                 1.0695,              0.0097815,              0.0097815,              0.0097815
                    120,                 1.0652,                0.47993,                 1.0794,                0.98516,                0.98977,                0.99332,                0.75354,                 0.9833,                0.33378,                 1.0688,              0.0097796,              0.0097796,              0.0097796
                    121,                 1.0606,                0.48022,                 1.0788,                0.98501,                0.98991,                0.99334,                0.75384,                0.98351,                 0.3339,                 1.0688,              0.0097777,              0.0097777,              0.0097777
                    122,                 1.0604,                0.48274,                 1.0823,                0.98546,                   0.99,                0.99336,                0.75342,                0.98369,                0.33367,                 1.0691,              0.0097758,              0.0097758,              0.0097758
                    123,                 1.0635,                0.48305,                 1.0867,                0.98463,                0.99022,                0.99338,                0.75348,                0.98391,                 0.3335,                 1.0695,               0.009774,               0.009774,               0.009774
                    124,                 1.0613,                0.48799,                 1.0857,                0.98466,                0.99039,                0.99343,                0.75338,                0.98402,                0.33322,                 1.0696,              0.0097721,              0.0097721,              0.0097721
                    125,                 1.0588,                0.48002,                 1.0816,                0.98437,                0.99039,                0.99347,                0.75361,                0.98379,                0.33304,                 1.0694,              0.0097702,              0.0097702,              0.0097702
                    126,                 1.0613,                 0.4796,                 1.0809,                0.98421,                0.99051,                0.99354,                 0.7538,                 0.9834,                0.33295,                  1.069,              0.0097684,              0.0097684,              0.0097684
                    127,                 1.0567,                0.47835,                  1.082,                0.98471,                0.98995,                0.99355,                0.75393,                0.98341,                0.33318,                 1.0688,              0.0097665,              0.0097665,              0.0097665
                    128,                 1.0581,                0.48154,                 1.0803,                0.98448,                0.98956,                0.99352,                0.75392,                0.98337,                0.33316,                 1.0683,              0.0097646,              0.0097646,              0.0097646
                    129,                 1.0607,                0.48034,                 1.0852,                0.98464,                0.98966,                0.99348,                0.75421,                0.98358,                 0.3332,                 1.0683,              0.0097628,              0.0097628,              0.0097628
                    130,                 1.0575,                0.47998,                 1.0804,                0.98427,                0.98958,                0.99346,                0.75439,                0.98387,                0.33365,                 1.0686,              0.0097609,              0.0097609,              0.0097609
                    131,                 1.0543,                0.47996,                 1.0864,                 0.9848,                0.98989,                0.99346,                0.75421,                0.98374,                0.33365,                 1.0689,               0.009759,               0.009759,               0.009759
                    132,                 1.0521,                0.47661,                 1.0846,                0.98523,                0.98984,                0.99346,                0.75404,                0.98372,                0.33351,                 1.0695,              0.0097572,              0.0097572,              0.0097572
                    133,                  1.056,                0.47782,                 1.0858,                0.98524,                0.98995,                0.99345,                0.75404,                0.98377,                 0.3335,                 1.0699,              0.0097553,              0.0097553,              0.0097553
                    134,                 1.0574,                0.47834,                 1.0856,                0.98504,                0.98979,                0.99345,                0.75377,                0.98349,                0.33319,                 1.0701,              0.0097534,              0.0097534,              0.0097534
                    135,                 1.0579,                0.47675,                 1.0821,                0.98542,                0.98991,                0.99359,                0.75394,                0.98358,                0.33312,                 1.0705,              0.0097516,              0.0097516,              0.0097516
                    136,                  1.054,                0.48087,                 1.0771,                0.98556,                0.98995,                0.99357,                0.75387,                0.98329,                0.33282,                 1.0707,              0.0097497,              0.0097497,              0.0097497
                    137,                 1.0549,                 0.4765,                 1.0835,                0.98563,                0.98985,                0.99358,                 0.7542,                0.98334,                0.33253,                 1.0708,              0.0097478,              0.0097478,              0.0097478
                    138,                 1.0527,                 0.4755,                 1.0782,                0.98555,                0.98995,                0.99361,                0.75463,                0.98293,                 0.3322,                 1.0708,               0.009746,               0.009746,               0.009746
                    139,                 1.0516,                0.47388,                 1.0692,                0.98555,                0.99037,                0.99367,                0.75414,                0.98283,                0.33223,                 1.0703,              0.0097441,              0.0097441,              0.0097441
                    140,                 1.0585,                 0.4781,                  1.075,                0.98566,                0.99019,                0.99367,                0.75451,                0.98301,                0.33218,                 1.0702,              0.0097422,              0.0097422,              0.0097422
                    141,                   1.05,                0.47453,                 1.0799,                0.98502,                0.99024,                0.99366,                0.75467,                0.98328,                0.33248,                 1.0704,              0.0097404,              0.0097404,              0.0097404
                    142,                 1.0533,                0.47884,                 1.0818,                0.98479,                0.99012,                0.99364,                0.75428,                0.98343,                0.33265,                 1.0708,              0.0097385,              0.0097385,              0.0097385
                    143,                 1.0604,                0.47818,                 1.0793,                0.98469,                0.99016,                0.99363,                0.75396,                0.98375,                0.33292,                 1.0712,              0.0097366,              0.0097366,              0.0097366
                    144,                 1.0557,                0.47487,                 1.0787,                0.98475,                0.99005,                0.99365,                0.75346,                0.98327,                0.33296,                 1.0712,              0.0097348,              0.0097348,              0.0097348
                    145,                 1.0499,                0.47532,                 1.0748,                0.98472,                0.98982,                0.99361,                0.75374,                0.98317,                0.33335,                 1.0718,              0.0097329,              0.0097329,              0.0097329
                    146,                 1.0558,                0.47859,                 1.0754,                 0.9845,                0.98998,                0.99352,                0.75393,                0.98322,                0.33354,                 1.0721,               0.009731,               0.009731,               0.009731
                    147,                 1.0569,                0.47733,                 1.0833,                0.98475,                0.98984,                0.99348,                0.75358,                0.98339,                0.33371,                 1.0724,              0.0097292,              0.0097292,              0.0097292
                    148,                 1.0523,                0.47349,                 1.0741,                0.98567,                0.98983,                0.99348,                 0.7533,                0.98351,                 0.3335,                 1.0726,              0.0097273,              0.0097273,              0.0097273
                    149,                 1.0545,                 0.4767,                 1.0756,                0.98535,                0.98983,                0.99341,                0.75338,                0.98409,                0.33345,                 1.0724,              0.0097254,              0.0097254,              0.0097254
                    150,                 1.0533,                0.47667,                 1.0831,                0.98555,                0.98981,                0.99345,                0.75331,                0.98396,                0.33345,                 1.0727,              0.0097235,              0.0097235,              0.0097235
                    151,                 1.0484,                0.47151,                 1.0755,                0.98561,                0.98992,                0.99347,                 0.7532,                0.98403,                0.33319,                 1.0728,              0.0097217,              0.0097217,              0.0097217
                    152,                 1.0524,                0.47558,                 1.0744,                0.98553,                 0.9899,                0.99342,                0.75345,                0.98485,                 0.3332,                 1.0727,              0.0097198,              0.0097198,              0.0097198
                    153,                 1.0485,                0.47275,                 1.0688,                0.98617,                0.98947,                0.99342,                0.75337,                0.98495,                0.33291,                 1.0725,              0.0097179,              0.0097179,              0.0097179
                    154,                 1.0502,                0.47351,                 1.0765,                0.98616,                0.98956,                0.99342,                0.75339,                 0.9851,                0.33266,                 1.0726,              0.0097161,              0.0097161,              0.0097161
                    155,                 1.0488,                0.47331,                 1.0779,                0.98662,                0.98989,                0.99349,                 0.7535,                0.98488,                0.33241,                 1.0723,              0.0097142,              0.0097142,              0.0097142
                    156,                 1.0482,                0.47769,                  1.073,                0.98701,                   0.99,                0.99354,                0.75327,                0.98523,                0.33244,                 1.0716,              0.0097123,              0.0097123,              0.0097123
                    157,                 1.0516,                0.47325,                 1.0766,                0.98688,                 0.9896,                0.99343,                0.75312,                0.98521,                0.33273,                 1.0715,              0.0097105,              0.0097105,              0.0097105
                    158,                 1.0545,                0.47594,                 1.0804,                0.98703,                0.98974,                0.99345,                0.75433,                0.98475,                0.33254,                 1.0715,              0.0097086,              0.0097086,              0.0097086
                    159,                   1.05,                0.47459,                 1.0795,                0.98688,                0.98988,                0.99346,                0.75357,                0.98514,                0.33249,                 1.0719,              0.0097067,              0.0097067,              0.0097067
                    160,                 1.0505,                0.47532,                 1.0832,                0.98704,                0.98992,                0.99344,                0.75389,                0.98542,                0.33267,                 1.0726,              0.0097049,              0.0097049,              0.0097049
                    161,                 1.0516,                0.47674,                  1.075,                0.98637,                0.99009,                0.99341,                0.75339,                0.98597,                0.33282,                 1.0728,               0.009703,               0.009703,               0.009703
                    162,                 1.0503,                0.47424,                 1.0722,                0.98688,                0.99008,                0.99339,                0.75323,                  0.986,                0.33286,                 1.0725,              0.0097011,              0.0097011,              0.0097011
                    163,                 1.0498,                0.47116,                 1.0702,                0.98706,                0.99032,                0.99338,                0.75309,                0.98641,                0.33321,                 1.0724,              0.0096993,              0.0096993,              0.0096993
                    164,                 1.0446,                0.47247,                 1.0756,                0.98699,                0.99053,                0.99339,                0.75316,                0.98637,                0.33332,                 1.0726,              0.0096974,              0.0096974,              0.0096974
                    165,                 1.0487,                0.47391,                 1.0778,                 0.9866,                0.99053,                0.99338,                0.75353,                 0.9862,                0.33327,                 1.0724,              0.0096955,              0.0096955,              0.0096955
                    166,                 1.0511,                 0.4722,                 1.0697,                0.98659,                0.99053,                0.99332,                0.75332,                0.98617,                 0.3333,                 1.0718,              0.0096937,              0.0096937,              0.0096937
                    167,                 1.0506,                0.47455,                 1.0749,                0.98622,                 0.9905,                0.99336,                0.75299,                0.98638,                0.33335,                 1.0718,              0.0096918,              0.0096918,              0.0096918
                    168,                 1.0467,                0.47165,                 1.0732,                0.98612,                0.99047,                0.99341,                0.75337,                0.98611,                0.33325,                 1.0712,              0.0096899,              0.0096899,              0.0096899
                    169,                 1.0484,                0.47116,                  1.073,                0.98585,                0.99049,                 0.9934,                0.75348,                0.98497,                0.33316,                 1.0706,              0.0096881,              0.0096881,              0.0096881
                    170,                 1.0524,                0.47383,                 1.0729,                0.98644,                0.99072,                0.99353,                0.75335,                0.98486,                0.33313,                 1.0703,              0.0096862,              0.0096862,              0.0096862
                    171,                 1.0466,                0.47162,                 1.0729,                0.98631,                0.99052,                0.99351,                0.75367,                0.98476,                 0.3329,                 1.0697,              0.0096843,              0.0096843,              0.0096843
                    172,                 1.0472,                0.47127,                 1.0728,                0.98616,                0.99046,                0.99339,                0.75374,                0.98481,                0.33266,                 1.0697,              0.0096825,              0.0096825,              0.0096825
                    173,                 1.0478,                0.47389,                 1.0784,                  0.986,                0.99062,                 0.9934,                0.75417,                0.98455,                0.33245,                 1.0692,              0.0096806,              0.0096806,              0.0096806
                    174,                  1.046,                0.47105,                 1.0746,                0.98577,                0.99051,                 0.9934,                0.75418,                0.98453,                0.33226,                 1.0688,              0.0096787,              0.0096787,              0.0096787
                    175,                 1.0483,                0.47151,                 1.0773,                0.98567,                0.99072,                0.99347,                0.75404,                0.98488,                 0.3323,                 1.0692,              0.0096768,              0.0096768,              0.0096768
                    176,                 1.0443,                0.46803,                 1.0697,                0.98546,                0.99086,                0.99341,                0.75446,                 0.9848,                0.33218,                 1.0689,               0.009675,               0.009675,               0.009675
                    177,                 1.0443,                 0.4693,                  1.077,                0.98583,                0.99093,                0.99343,                0.75432,                0.98488,                0.33199,                 1.0687,              0.0096731,              0.0096731,              0.0096731
                    178,                 1.0487,                0.47377,                 1.0772,                0.98605,                0.99107,                0.99345,                0.75439,                 0.9852,                0.33172,                  1.069,              0.0096712,              0.0096712,              0.0096712
                    179,                 1.0445,                0.47245,                 1.0697,                0.98638,                0.99105,                 0.9935,                0.75457,                0.98588,                0.33179,                 1.0687,              0.0096694,              0.0096694,              0.0096694
                    180,                 1.0455,                0.46903,                  1.072,                 0.9866,                0.99092,                 0.9935,                0.75417,                0.98635,                0.33164,                 1.0684,              0.0096675,              0.0096675,              0.0096675
                    181,                 1.0477,                0.46894,                 1.0713,                0.98634,                0.99065,                0.99348,                0.75397,                0.98658,                0.33161,                 1.0683,              0.0096656,              0.0096656,              0.0096656
                    182,                 1.0457,                0.47258,                 1.0707,                0.98613,                0.99039,                0.99344,                0.75414,                0.98641,                0.33169,                 1.0682,              0.0096638,              0.0096638,              0.0096638
                    183,                 1.0468,                0.47165,                 1.0715,                0.98618,                0.99096,                0.99351,                0.75379,                0.98644,                0.33151,                 1.0679,              0.0096619,              0.0096619,              0.0096619
                    184,                 1.0443,                0.47031,                 1.0701,                0.98593,                0.99115,                0.99351,                0.75411,                0.98584,                 0.3315,                 1.0677,                0.00966,                0.00966,                0.00966
                    185,                 1.0449,                0.47124,                 1.0681,                 0.9853,                0.99093,                0.99336,                0.75424,                0.98578,                 0.3313,                 1.0672,              0.0096582,              0.0096582,              0.0096582
                    186,                 1.0436,                 0.4692,                 1.0689,                0.98496,                0.99115,                0.99346,                0.75449,                0.98574,                0.33109,                 1.0671,              0.0096563,              0.0096563,              0.0096563
                    187,                 1.0453,                0.46979,                 1.0736,                0.98512,                0.99126,                0.99348,                0.75444,                0.98548,                0.33103,                 1.0672,              0.0096544,              0.0096544,              0.0096544
                    188,                 1.0449,                0.47131,                 1.0764,                0.98542,                0.99102,                0.99352,                0.75413,                0.98528,                0.33114,                 1.0674,              0.0096526,              0.0096526,              0.0096526
                    189,                 1.0478,                0.46983,                 1.0753,                0.98518,                0.99113,                0.99347,                 0.7543,                0.98498,                0.33093,                 1.0669,              0.0096507,              0.0096507,              0.0096507
                    190,                 1.0496,                0.47285,                 1.0796,                0.98478,                0.99113,                0.99344,                 0.7542,                0.98459,                0.33112,                 1.0669,              0.0096488,              0.0096488,              0.0096488
                    191,                 1.0485,                0.47113,                 1.0763,                0.98442,                0.99104,                0.99337,                0.75469,                0.98411,                0.33091,                 1.0668,               0.009647,               0.009647,               0.009647
